         1486325 function calls (1464900 primitive calls) in 1.766 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    26235    0.003    0.000    0.003    0.000 {method 'items' of 'dict' objects}
      715    0.003    0.000    0.012    0.000 artist.py:942(update)
6756/6752    0.002    0.000    0.003    0.000 {method 'join' of 'str' objects}
    12608    0.002    0.000    0.002    0.000 transforms.py:946(get_points)
     1756    0.002    0.000    0.003    0.000 numeric.py:2758(geterr)
     4021    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
     2543    0.002    0.000    0.014    0.000 transforms.py:347(xmin)
      428    0.002    0.000    0.003    0.000 {built-in method matplotlib._path.update_path_extents}
      492    0.002    0.000    0.075    0.000 text.py:852(get_window_extent)
      218    0.002    0.000    0.002    0.000 _base.py:2416(<listcomp>)
     3688    0.002    0.000    0.002    0.000 {built-in method builtins.max}
       36    0.002    0.000    0.004    0.000 {method 'sort' of 'list' objects}
       12    0.002    0.000    0.023    0.002 artist.py:1277(_get_setters_and_targets)
      218    0.002    0.000    0.164    0.001 _base.py:2388(autoscale_view)
     2564    0.002    0.000    0.011    0.000 transforms.py:352(ymin)
      876    0.002    0.000    0.007    0.000 _base.py:3143(_validate_converted_limits)
     6146    0.002    0.000    0.002    0.000 {built-in method builtins.abs}
     1953    0.002    0.000    0.004    0.000 inspect.py:2467(__init__)
      768    0.002    0.000    0.005    0.000 font_manager.py:1058(score_family)
     6370    0.002    0.000    0.014    0.000 numeric.py:469(asarray)
      360    0.002    0.000    0.005    0.000 transforms.py:1914(rotate)
      218    0.002    0.000    0.002    0.000 _base.py:2417(<listcomp>)
      219    0.002    0.000    0.016    0.000 _base.py:3161(set_xlim)
     2543    0.002    0.000    0.011    0.000 transforms.py:357(xmax)
     1822    0.002    0.000    0.002    0.000 {built-in method _codecs.utf_8_decode}
     2570    0.002    0.000    0.011    0.000 transforms.py:362(ymax)
     7084    0.002    0.000    0.005    0.000 abc.py:137(__instancecheck__)
     3770    0.002    0.000    0.009    0.000 colors.py:115(_is_nth_color)
       38    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
     2640    0.002    0.000    0.014    0.000 fromnumeric.py:2171(all)
       90    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
    15004    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
     1774    0.002    0.000    0.002    0.000 {built-in method matplotlib._path.affine_transform}
      393    0.002    0.000    0.002    0.000 stride_tricks.py:185(_broadcast_shape)
     1981    0.002    0.000    0.043    0.000 transforms.py:126(invalidate)
     3770    0.002    0.000    0.008    0.000 re.py:170(match)
      219    0.002    0.000    0.016    0.000 _base.py:3542(set_ylim)
    283/1    0.002    0.000    1.766    1.766 {built-in method builtins.exec}
     2867    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      250    0.002    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:793(get_code)
    10917    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
 1073/355    0.002    0.000    0.002    0.000 sre_parse.py:174(getwidth)
     1743    0.002    0.000    0.004    0.000 transforms.py:1776(transform_affine)
      217    0.002    0.000    0.041    0.000 _base.py:363(_plot_args)
      217    0.002    0.000    0.273    0.001 _axes.py:1433(plot)
     2235    0.002    0.000    0.009    0.000 artist.py:49(_stale_axes_callback)
      906    0.002    0.000    0.002    0.000 {method 'search' of 're.Pattern' objects}
     4816    0.002    0.000    0.002    0.000 sre_parse.py:233(__next)
     1474    0.002    0.000    0.004    0.000 __init__.py:2012(_setattr_cm)
     5970    0.002    0.000    0.002    0.000 sre_parse.py:164(__getitem__)
     9821    0.002    0.000    0.002    0.000 {method 'pop' of 'dict' objects}
3795/2991    0.002    0.000    0.002    0.000 transforms.py:2357(<lambda>)
     1188    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
      916    0.002    0.000    0.003    0.000 __init__.py:968(get_siblings)
      305    0.002    0.000    0.026    0.000 <frozen importlib._bootstrap>:882(_find_spec)
     4234    0.002    0.000    0.002    0.000 {built-in method builtins.iter}
      517    0.002    0.000    0.045    0.000 markers.py:292(set_marker)
      681    0.002    0.000    0.003    0.000 inspect.py:2750(__init__)
    10722    0.002    0.000    0.003    0.000 mathtext.py:2839(<genexpr>)
     2478    0.002    0.000    0.002    0.000 {method 'expandtabs' of 'str' objects}
     1964    0.002    0.000    0.002    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      588    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       32    0.002    0.000    0.002    0.000 {built-in method io.open}
     3237    0.002    0.000    0.002    0.000 __init__.py:2151(_check_in_list)
     1717    0.002    0.000    0.005    0.000 {built-in method builtins.any}
     2246    0.002    0.000    0.030    0.000 inspect.py:594(getdoc)
     5151    0.002    0.000    0.009    0.000 numeric.py:541(asanyarray)
      641    0.002    0.000    0.012    0.000 inspect.py:2198(_signature_from_callable)
      832    0.002    0.000    0.004    0.000 transforms.py:2299(__init__)
      497    0.002    0.000    0.002    0.000 {built-in method numpy.concatenate}
      360    0.002    0.000    0.023    0.000 font_manager.py:1179(findfont)
     1784    0.002    0.000    0.002    0.000 transforms.py:377(intervalx)
     1819    0.002    0.000    0.005    0.000 __init__.py:1382(_to_unmasked_float_array)
    11580    0.001    0.000    0.001    0.000 artist.py:194(axes)
     1334    0.001    0.000    0.002    0.000 getlimits.py:365(__new__)
     2867    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
     1791    0.001    0.000    0.014    0.000 __init__.py:774(__setitem__)
      412    0.001    0.000    0.003    0.000 lines.py:1145(set_linestyle)
      915    0.001    0.000    0.002    0.000 contextlib.py:81(__init__)
     1756    0.001    0.000    0.004    0.000 __init__.py:1651(safe_first_element)
      468    0.001    0.000    0.001    0.000 transforms.py:2867(_interval_contains_close)
     1811    0.001    0.000    0.011    0.000 fromnumeric.py:2083(any)
      768    0.001    0.000    0.002    0.000 font_manager.py:1081(<listcomp>)
       24    0.001    0.000    0.043    0.002 axis.py:1074(_update_ticks)
      500    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
      360    0.001    0.000    0.006    0.000 transforms.py:1930(rotate_deg)
     3342    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x104619778}
      395    0.001    0.000    0.004    0.000 shape_base.py:599(column_stack)
      376    0.001    0.000    0.003    0.000 colors.py:185(_to_rgba_no_colorcycle)
       30    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
    16384    0.001    0.000    0.001    0.000 plot_gtex_binary.py:99(<lambda>)
     3134    0.001    0.000    0.002    0.000 artist.py:338(pchanged)
     1853    0.001    0.000    0.002    0.000 transforms.py:386(intervaly)
     6527    0.001    0.000    0.001    0.000 transforms.py:1857(get_matrix)
      436    0.001    0.000    0.003    0.000 _base.py:2438(<listcomp>)
  452/451    0.001    0.000    0.005    0.000 transforms.py:1691(__eq__)
    315/2    0.001    0.000    0.334    0.167 <frozen importlib._bootstrap>:978(_find_and_load)
      878    0.001    0.000    0.004    0.000 {method 'all' of 'numpy.generic' objects}
     2742    0.001    0.000    0.004    0.000 pyplot.py:578(_auto_draw_if_interactive)
      393    0.001    0.000    0.005    0.000 stride_tricks.py:208(broadcast_arrays)
     3169    0.001    0.000    0.008    0.000 {built-in method builtins.next}
        1    0.001    0.001    0.279    0.279 _axes.py:3775(bxp)
      428    0.001    0.000    0.005    0.000 transforms.py:824(update_from_path)
      582    0.001    0.000    0.006    0.000 text.py:823(get_prop_tup)
     2491    0.001    0.000    0.005    0.000 artist.py:170(convert_xunits)
        2    0.001    0.001    0.053    0.026 _base.py:4302(get_tightbbox)
      231    0.001    0.000    0.026    0.000 artist.py:709(set_clip_path)
     1074    0.001    0.000    0.003    0.000 text.py:809(get_unitless_position)
     1458    0.001    0.000    0.021    0.000 transforms.py:2371(transform_affine)
      120    0.001    0.000    0.059    0.000 backend_agg.py:164(draw_text)
      644    0.001    0.000    0.005    0.000 path.py:96(__init__)
 1642/638    0.001    0.000    0.215    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
     1675    0.001    0.000    0.003    0.000 transforms.py:2375(transform_non_affine)
     2343    0.001    0.000    0.002    0.000 function_base.py:258(iterable)
     3059    0.001    0.000    0.008    0.000 _methods.py:45(_all)
       31    0.001    0.000    0.003    0.000 __init__.py:316(namedtuple)
     2739    0.001    0.000    0.007    0.000 figure.py:49(_stale_figure_callback)
      217    0.001    0.000    0.062    0.000 _base.py:1894(add_line)
     2181    0.001    0.000    0.007    0.000 {method 'all' of 'numpy.ndarray' objects}
     1420    0.001    0.000    0.004    0.000 units.py:122(is_numlike)
      217    0.001    0.000    0.002    0.000 sre_compile.py:276(_optimize_charset)
       64    0.001    0.000    0.006    0.000 colors.py:729(from_list)
     1822    0.001    0.000    0.003    0.000 codecs.py:319(decode)
      300    0.001    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1240(_get_spec)
      979    0.001    0.000    0.001    0.000 markers.py:258(__bool__)
     1719    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      443    0.001    0.000    0.002    0.000 __init__.py:163(connect)
     2304    0.001    0.000    0.002    0.000 transforms.py:2573(get_matrix)
     2311    0.001    0.000    0.004    0.000 enum.py:284(__call__)
      293    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     1035    0.001    0.000    0.004    0.000 transforms.py:1748(frozen)
       65    0.001    0.000    0.081    0.001 axis.py:56(__init__)
     2445    0.001    0.000    0.004    0.000 artist.py:182(convert_yunits)
      935    0.001    0.000    0.001    0.000 {built-in method numpy.result_type}
      594    0.001    0.000    0.013    0.000 transforms.py:1470(transform_point)
      762    0.001    0.000    0.004    0.000 transforms.py:2710(_revalidate)
     3954    0.001    0.000    0.002    0.000 sre_parse.py:254(get)
    294/2    0.001    0.000    0.334    0.167 <frozen importlib._bootstrap>:663(_load_unlocked)
      240    0.001    0.000    0.016    0.000 patches.py:728(_update_patch_transform)
      576    0.001    0.000    0.045    0.000 backend_agg.py:119(draw_path)
     2744    0.001    0.000    0.003    0.000 __init__.py:1342(is_interactive)
      408    0.001    0.000    0.021    0.000 artist.py:1241(get_valid_values)
3036/1770    0.001    0.000    0.005    0.000 {built-in method builtins.hash}
       26    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
     2160    0.001    0.000    0.002    0.000 font_manager.py:1233(<genexpr>)
        1    0.001    0.001    0.007    0.007 __init__.py:1135(boxplot_stats)
     1034    0.001    0.000    0.041    0.000 markers.py:245(_recache)
      227    0.001    0.000    0.001    0.000 _base.py:4248(get_children)
      217    0.001    0.000    0.029    0.000 _base.py:1920(_update_line_limits)
      629    0.001    0.000    0.003    0.000 lines.py:635(axes)
      588    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
      824    0.001    0.000    0.002    0.000 lines.py:1112(_split_drawstyle_linestyle)
      768    0.001    0.000    0.003    0.000 font_manager.py:1137(score_weight)
      240    0.001    0.000    0.001    0.000 text.py:41(get_rotation)
     1420    0.001    0.000    0.005    0.000 axis.py:1539(convert_units)
      434    0.001    0.000    0.042    0.000 _base.py:154(__call__)
     1757    0.001    0.000    0.001    0.000 {built-in method numpy.seterrobj}
      391    0.001    0.000    0.004    0.000 axis.py:500(update_position)
      207    0.001    0.000    0.005    0.000 font_manager.py:620(__init__)
      644    0.001    0.000    0.002    0.000 path.py:188(_update_values)
  394/169    0.001    0.000    0.016    0.000 sre_parse.py:417(_parse_sub)
        2    0.001    0.000    0.002    0.001 decoder.py:343(raw_decode)
      915    0.001    0.000    0.003    0.000 contextlib.py:116(__exit__)
      436    0.001    0.000    0.002    0.000 _base.py:2441(<listcomp>)
     1585    0.001    0.000    0.002    0.000 lines.py:1282(set_xdata)
       60    0.001    0.000    0.002    0.000 function_base.py:37(linspace)
      868    0.001    0.000    0.002    0.000 __init__.py:1393(_check_1d)
      428    0.001    0.000    0.003    0.000 transforms.py:2350(_iter_break_from_left_to_right)
      588    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      437    0.001    0.000    0.001    0.000 _base.py:3519(get_ylim)
      431    0.001    0.000    0.041    0.000 transforms.py:1976(scale)
      898    0.001    0.000    0.006    0.000 transforms.py:2470(composite_transform_factory)
      900    0.001    0.000    0.001    0.000 artist.py:828(_set_gc_clip)
     1647    0.001    0.000    0.001    0.000 artist.py:373(get_transform)
      360    0.001    0.000    0.026    0.000 backend_agg.py:241(_get_agg_font)
    310/2    0.001    0.000    0.334    0.167 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
